island,year,source_table,area,area_type,area_pop_total,speak_only,read_only,write_only,speak_and_read,speak_and_write,read_and_write,speak_read_write,total_any_manx,data_type,notes
IOM,2021,Table2.13,Douglas,Town,26677,294,62,3,57,10,13,141,580,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Ramsey,Town,8288,102,10,1,28,4,5,56,206,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Peel,Town,5710,87,10,0,32,5,1,136,271,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Castletown,Town,3206,45,2,1,13,1,3,21,86,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Port Erin,Village,3730,60,7,0,12,2,0,31,112,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Port St Mary,Village,1989,38,4,0,7,1,1,40,91,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Laxey,Village,1656,19,2,0,3,0,1,14,39,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Onchan,Village,9039,71,14,0,23,1,3,43,155,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Andreas,Parish,1400,14,3,0,2,2,0,15,36,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Arbory,Parish,1899,31,4,2,11,0,1,17,66,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Ballaugh,Parish,1041,19,5,0,6,0,0,18,48,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Braddan,Parish,3404,30,3,1,12,0,2,24,72,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Bride,Parish,359,4,0,0,1,0,0,6,11,published_exact,Part I Table 2.13 - NOTE: total_any_manx of 11 in population of 359
IOM,2021,Table2.13,German,Parish,1056,28,3,0,7,1,0,20,59,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Jurby,Parish,780,5,5,0,6,0,0,4,20,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Lezayre,Parish,1230,16,1,0,8,2,2,10,39,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Lonan,Parish,1647,14,3,0,8,1,1,6,33,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Malew,Parish,2367,31,1,0,7,0,1,21,61,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Marown,Parish,2220,15,1,0,3,2,1,14,36,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Maughold,Parish,952,10,1,0,7,0,0,10,28,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Michael,Parish,1522,22,1,0,3,0,1,18,45,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Patrick,Parish,1487,31,7,0,15,2,0,20,75,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Rushen,Parish,1661,17,4,1,8,1,1,17,49,published_exact,Part I Table 2.13
IOM,2021,Table2.13,Santon,Parish,749,2,1,0,2,0,0,0,5,published_exact,Part I Table 2.13 - NOTE: only 5 Manx speakers in population of 749
IOM,2021,Table2.13,ISLAND_TOTAL,Island,84069,1005,154,9,281,35,37,702,2223,published_exact,Part I Table 2.13 - island-wide totals
